text	category	region	language	cultural_score	quality_score
Santali, a natural language	language	Unknown	Santali	3	11.11111111111111
Santali (https://www	language	Unknown	Santali	2	10.0
Santali (https://www	language	Unknown	Santali	2	10.0
"com/writin
g/santali"	language	Unknown	Santali	2	10.0
"org/wiki/Santali_language
23/23"	language	Unknown	Santali	3	9.67741935483871
"org/wiki/Santali_literature
4/4"	language	Unknown	Santali	3	9.67741935483871
org>wiki>Santali_lang	language	Unknown	Santali	2	9.523809523809524
Bibliography, Santali literature	language	Unknown	Santali	3	9.375
"“History of Santali 
Literature”"	language	Unknown	Santali	3	9.375
"org/wiki/Santali_language
18/23
6"	language	Unknown	Santali	3	9.090909090909092
"""Santali"" (https://web"	language	Unknown	Santali	2	9.090909090909092
"org/wiki/Santali_literature
3/4
8"	language	Unknown	Santali	3	9.090909090909092
"org/wiki/Santali_language
19/23
18"	language	Unknown	Santali	3	8.823529411764707
"org/wiki/Santali_language
20/23
49"	language	Unknown	Santali	3	8.823529411764707
Santali language and literature was one of them	language	Unknown	Santali	4	8.51063829787234
Santali, the base of world languages	language	Unknown	Santali	3	8.333333333333332
in/languages/Santali/default_Santali	language	Unknown	Santali	3	8.333333333333332
"""Santali (in Ol script)"" (https://www"	language	Unknown	Santali	3	8.108108108108109
Tribal Language and Culture of Orissa	customs	Unknown	Santali	3	8.108108108108109
"55-60
59
the Santal women"	gender	Unknown	Santali	2	8.0
“Santali Sahityer Itihas”	language	Unknown	Santali	2	8.0
Santal culture is changing	customs	Unknown	Santali	2	7.6923076923076925
Board of Santali Education	language	Unknown	Santali	2	7.6923076923076925
B) & Committee on Santali language (Govt	language	Unknown	Santali	3	7.5
"org/wiki/Santali_cinema
8/8"	language	Unknown	Santali	2	7.4074074074074066
in/bharatavani/santali/book	language	Unknown	Santali	2	7.4074074074074066
in/bharatavani/santali/book	language	Unknown	Santali	2	7.4074074074074066
"Hor Orak/Santal house 11 
2"	housing	Unknown	Santali	2	7.4074074074074066
Race, Language, and Culture	customs	Unknown	Santali	2	7.4074074074074066
"The Tribal Culture of
India"	customs	Unknown	Santali	2	7.4074074074074066
"Santali language & literature  are 
also not beyond it"	language	Unknown	Santali	4	7.4074074074074066
"""Ol Chiki (Ol Cemet', Ol, Santali)"" (http://scriptsource"	language	Unknown	Santali	4	7.142857142857142
Santali : a linguistic study	language	Unknown	Santali	2	7.142857142857142
"in/bharatavani/santali/b
ook"	language	Unknown	Santali	2	7.142857142857142
"The Santali language
is recognised by Govt"	language	Unknown	Santali	3	7.142857142857142
"14 
Description: Don is a Santal dance form"	festival	Unknown	Santali	3	6.976744186046512
"org/wiki/Santali_cinema
4/8
1"	language	Unknown	Santali	2	6.896551724137931
"org/wiki/Santali_cinema
5/8
9"	language	Unknown	Santali	2	6.896551724137931
"2 – Santali"" (http://glottolog"	language	Unknown	Santali	2	6.666666666666667
(1989) Santali: A New Approach	language	Unknown	Santali	2	6.666666666666667
"org/wiki/Santali_cinema
6/8
25"	language	Unknown	Santali	2	6.666666666666667
"org/wiki/Santali_cinema
7/8
31"	language	Unknown	Santali	2	6.666666666666667
"in
Santali) for every language in nine groups"	language	Unknown	Santali	3	6.666666666666667
He composed many Santali songs	language	Unknown	Santali	2	6.666666666666667
"""Santali language and alphabets"" (https://www"	language	Unknown	Santali	3	6.666666666666667
Santali films are made in the Santali language	language	Unknown	Santali	3	6.521739130434782
"com/2014/09/santali-national-literature-awar
d"	language	Unknown	Santali	3	6.521739130434782
"The Santali language is a member of the Austro- Asiatic 
family"	gender	Unknown	Santali	4	6.349206349206349
Santali is one of India's 22 scheduled languages	language	Unknown	Santali	3	6.25
) (1923–1929) Santali Folk Tales	language	Unknown	Santali	2	6.25
See Choksi, ‘Language to Script’	language	Unknown	Santali	2	6.25
"They have a recognised language
known as Santali"	language	Unknown	Santali	3	6.25
The Santalization of the Santals	language	Unknown	Santali	2	6.25
The Santals Religion and Rituals	customs	Unknown	Santali	2	6.25
So there is no problem in using Santali language	language	Unknown	Santali	3	6.25
"“Santali: Talking Time-Two tribal villages in Bengal revive the Santali 
language"	language	West Bengal	Santali	5	6.172839506172839
"In 1925 akilman Raghunath Murmu created Ol Chiki script for the 
Santali Language"	language	Unknown	Santali	5	6.172839506172839
Religious Beliefs and Practices among the Santals	customs	Unknown	Santali	3	6.122448979591836
