run_id,pk,windowdiff,graph_cov@6,timestamp
demo,0.0,0.0,0.0,1752646164
demo,0.0,0.0,0.095,1752646164
demo,0.0,0.0,0.0,1752646196
demo,0.0,0.0,0.095,1752646196
demo,0.0,0.0,0.0,1752646310
demo,0.0,0.0,0.095,1752646310
demo,0.0,0.0,0.0,1752646391
demo,0.0,0.0,0.095,1752646391
demo,0.0,0.0,0.0,1752646449
demo,0.0,0.0,0.095,1752646449
is-dea,0.0,0.0,0.0,1752680717
is-dea,0.0,0.0,0.207,1752680717
km,0.0,0.0,0.0,1752680717
km,0.0,0.0,0.214,1752680717
ipsftsame,0.0,0.0,0.0,1752680717
ipsftsame,0.0,0.0,0.115,1752680717
pdtti-assam,0.0,0.0,0.0,1752680718
pdtti-assam,0.0,0.0,0.128,1752680718
tlmvvcs,0.0,0.0,0.0,1752680718
tlmvvcs,0.0,0.0,0.182,1752680718
ipatipo,0.0,0.0,0.0,1752680718
ipatipo,0.0,0.0,0.25,1752680718
sswc-hlwb,0.0,0.0,0.0,1752680718
sswc-hlwb,0.0,0.0,0.098,1752680718
pm-kusum,0.0,0.0,0.0,1752680722
pm-kusum,0.0,0.0,0.171,1752680722
ifbpdap,0.0,0.0,0.0,1752680733
ifbpdap,0.0,0.0,0.118,1752680733
kmys2016,0.0,0.0,0.0,1752680734
kmys2016,0.0,0.0,0.167,1752680734
jjm,0.0,0.0,0.0,1752680734
jjm,0.0,0.0,0.188,1752680734
asd,0.0,0.0,0.0,1752680734
asd,0.0,0.0,0.167,1752680734
mcm-min,0.0,0.0,0.0,1752680734
dbwmwaaaw,0.0,0.0,0.0,1752680734
mcm-min,0.0,0.0,0.067,1752680734
dbwmwaaaw,0.0,0.0,0.3,1752680734
pmsy,0.0,0.0,0.0,1752680735
pmsy,0.0,0.0,0.194,1752680735
ei-mesifai-vi,0.0,0.0,0.0,1752680737
ei-mesifai-vi,0.0,0.0,0.188,1752680737
tlsbc,0.0,0.0,0.0,1752680748
tlsbc,0.0,0.0,0.194,1752680748
sfmcas-glwb,0.0,0.0,0.0,1752680749
sfmcas-glwb,0.0,0.0,0.207,1752680749
fatpomo2t5ffttfc,0.0,0.0,0.0,1752680749
fatpomo2t5ffttfc,0.0,0.0,0.207,1752680749
doh,0.0,0.0,0.0,1752680749
doh,0.0,0.0,0.25,1752680749
faspscccsnppsdppie,0.0,0.0,0.0,1752680749
faspscccsnppsdppie,0.0,0.0,0.188,1752680749
spy-gbocwwb,0.0,0.0,0.0,1752680749
spy-gbocwwb,0.0,0.0,0.462,1752680749
farppgmc,0.0,0.0,0.0,1752680749
